scenario id,scenario start time (P[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]),elapsed (hours),bus:OUT(0) => cluster_01_electric:IN(0) (kW),electric_utility:OUT(0) => bus:IN(0) (kW),emergency_generator:OUT(0) => bus:IN(1) (kW),REQUEST:bus:OUT(0) => cluster_01_electric:IN(0) (kW),REQUEST:electric_utility:OUT(0) => bus:IN(0) (kW),REQUEST:emergency_generator:OUT(0) => bus:IN(1) (kW),AVAILABLE:bus:OUT(0) => cluster_01_electric:IN(0) (kW),AVAILABLE:electric_utility:OUT(0) => bus:IN(0) (kW),AVAILABLE:emergency_generator:OUT(0) => bus:IN(1) (kW),op-state: bus,op-state: cluster_01_electric,op-state: electric_utility,op-state: emergency_generator
blue_sky,P0000-00-00T00:00:00,0,1,1,0,1,1,0,4294967.3,10,4294967.3,available,available,available,available
blue_sky,P0000-00-00T00:00:00,1200,10,10,0,10,10,0,4294967.3,10,4294967.3,available,available,available,available
blue_sky,P0000-00-00T00:00:00,2400,1,1,0,1,1,0,4294967.3,10,4294967.3,available,available,available,available
blue_sky,P0000-00-00T00:00:00,3600,0,0,0,0,0,0,4294967.3,10,4294967.3,available,available,available,available
blue_sky,P0000-00-00T00:00:00,8760,0,0,0,0,0,0,4294967.3,10,4294967.3,available,available,available,available
class_4_hurricane,P0010-00-00T00:00:00,0,0,0,0,1,0,0,0,10,0,highly_vulnerable_to_wind | somewhat_vulnerable_to_flooding,available,available,somewhat_vulnerable_to_flooding
class_4_hurricane,P0010-00-00T00:00:00,336,0,0,0,1,0,0,0,10,0,highly_vulnerable_to_wind | somewhat_vulnerable_to_flooding,available,available,somewhat_vulnerable_to_flooding
class_4_hurricane,P0020-00-00T00:00:00,0,1,0,1,1,1,1,4294967.3,0,4294967.3,available,available,highly_vulnerable_to_wind,available
class_4_hurricane,P0020-00-00T00:00:00,336,1,0,1,1,1,1,4294967.3,0,4294967.3,available,available,highly_vulnerable_to_wind,available
class_4_hurricane,P0030-00-00T00:00:00,0,0,0,0,1,0,0,0,10,0,highly_vulnerable_to_wind | somewhat_vulnerable_to_flooding,available,available,somewhat_vulnerable_to_flooding
class_4_hurricane,P0030-00-00T00:00:00,336,0,0,0,1,0,0,0,10,0,highly_vulnerable_to_wind | somewhat_vulnerable_to_flooding,available,available,somewhat_vulnerable_to_flooding
class_4_hurricane,P0040-00-00T00:00:00,0,1,0,1,1,1,1,4294967.3,0,4294967.3,available,available,highly_vulnerable_to_wind,available
class_4_hurricane,P0040-00-00T00:00:00,336,1,0,1,1,1,1,4294967.3,0,4294967.3,available,available,highly_vulnerable_to_wind,available
class_4_hurricane,P0050-00-00T00:00:00,0,0,0,0,1,0,0,0,10,0,highly_vulnerable_to_wind | somewhat_vulnerable_to_flooding,available,available,somewhat_vulnerable_to_flooding
class_4_hurricane,P0050-00-00T00:00:00,336,0,0,0,1,0,0,0,10,0,highly_vulnerable_to_wind | somewhat_vulnerable_to_flooding,available,available,somewhat_vulnerable_to_flooding
class_4_hurricane,P0060-00-00T00:00:00,0,1,0,1,1,1,1,4294967.3,0,4294967.3,available,available,highly_vulnerable_to_wind,available
class_4_hurricane,P0060-00-00T00:00:00,336,1,0,1,1,1,1,4294967.3,0,4294967.3,available,available,highly_vulnerable_to_wind,available
class_4_hurricane,P0070-00-00T00:00:00,0,0,0,0,1,0,0,0,10,0,highly_vulnerable_to_wind | somewhat_vulnerable_to_flooding,available,available,somewhat_vulnerable_to_flooding
class_4_hurricane,P0070-00-00T00:00:00,336,0,0,0,1,0,0,0,10,0,highly_vulnerable_to_wind | somewhat_vulnerable_to_flooding,available,available,somewhat_vulnerable_to_flooding
class_4_hurricane,P0080-00-00T00:00:00,0,1,0,1,1,1,1,4294967.3,0,4294967.3,available,available,highly_vulnerable_to_wind,available
class_4_hurricane,P0080-00-00T00:00:00,336,1,0,1,1,1,1,4294967.3,0,4294967.3,available,available,highly_vulnerable_to_wind,available
class_4_hurricane,P0090-00-00T00:00:00,0,0,0,0,1,0,0,0,10,0,highly_vulnerable_to_wind | somewhat_vulnerable_to_flooding,available,available,somewhat_vulnerable_to_flooding
class_4_hurricane,P0090-00-00T00:00:00,336,0,0,0,1,0,0,0,10,0,highly_vulnerable_to_wind | somewhat_vulnerable_to_flooding,available,available,somewhat_vulnerable_to_flooding
class_4_hurricane,P0100-00-00T00:00:00,0,1,0,1,1,1,1,4294967.3,0,4294967.3,available,available,highly_vulnerable_to_wind,available
class_4_hurricane,P0100-00-00T00:00:00,336,1,0,1,1,1,1,4294967.3,0,4294967.3,available,available,highly_vulnerable_to_wind,available
